FISCAL_YEAR,MICROSOFT,APPLE,ALPHABET,META,ORACLE
2024,17254000000,94949000000,,,1202000000
2023,22245000000,77550000000,61504000000,19774000000,1300000000
2022,32696000000,89402000000,59296000000,27956000000,16248000000
2021,27385000000,85971000000,50274000000,44537000000,20934000000
2020,22968000000,72358000000,31149000000,6272000000,19240000000
2019,19543000000,66897000000,18396000000,4202000000,36140000000
2018,10721000000,72738000000,9075000000,12879000000,11347000000
2017,11788000000,32900000000,4846000000,1976000000,3561000000
2016,15969000000,29722000000,3693000000,0,10440000000
2015,14443000000,35253000000,1780000000,0,8087000000
2014,7316000000,45000000000,0,,9813000000
2013,5360000000,22860000000,0,,11021000000